Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
VCQT24,Quầy thuốc số 24 Hoàng Thị Hương Giang,"Thôn Hồng Sơn, xã Sơn Thịnh, huyện Văn Chấn, tỉnh Yên Bái","Thịnh, huyện Văn Chấn",0949899263,04KVYENBAI,Hoàng Thị Hương Giang,0964909271
YBVUMINH,CT Yên Bái - Quầy thuốc Vũ Thị Thanh Minh,"Số 312 đường Đại Đồng, tổ 9 thị trấn  Yên Bình, huyện Yên Bình, tỉnh Yên Bái","Bình, huyện Yên Bình",,04KVYENBAI,Vũ Thị Thanh Minh,0363035268
VYTRUONGTRANG,Quầy thuốc Trương Thị Trang,"Thôn Đồng Tâm, xã An Thịnh, huyện Văn Yên, tỉnh Yên Bái","Thịnh, huyện Văn Yên",,04KVYENBAI,Trương Thị Thu Trang,0971152366
VCLUCDUNG,Quầy thuốc tân dược Lục Văn Dũng,"Thôn 4 TT Nghĩa Lộ, huyện Văn Chấn, tỉnh Yên Bái","Lộ, huyện Văn Chấn",,04KVYENBAI,Lục Văn Dũng,0986346285
YBVUHUE,Nhà thuốc 32,"Tổ 22 phường Nguyễn Thái Học, thành phố Yên Bái, tỉnh Yên Bái","Học, thành phố Yên Bái",,04KVYENBAI,Vũ Thị Huệ,0948 937 571
YBHOANGHUONG,Nhà thuốc Hoàng Hương,"SN 69 đường Trần Phú, phường Đồng Tâm, tp Yên Bái, tỉnh Yên Bái","Tâm, tp Yên Bái",,04KVYENBAI,Trần Thị Phương Liên,0978035548
YBHANHHUE,Nhà thuốc Hạnh Huế,"Số 396 đại lộ Nguyễn Thái Học, phường Hồng Hà, thành phố Yên Bái, tỉnh Yên Bái","Hà, thành phố Yên Bái",,04KVYENBAI,Nguyễn Thị Huế,0363036579
YBMANVAN,Nhà thuốc Mận Vân,"Số 103 đường Lê Hồng Phong, tổ 7, phường Nguyễn Thái Học, tp Yên Bái, tỉnh Yên Bái","Học, tp Yên Bái",,04KVYENBAI,Bùi Thị Lịch,0978529064
TTVUHANG,CTD YB - Quầy thuốc Vũ Thị Thúy Hằng,"Khu 2 TT Trạm Tấu, huyện Trạm Tấu, tỉnh Yên Bái","Tấu, huyện Trạm Tấu",,04KVYENBAI,Vũ Thị Thúy Hằng,0886742666
TYHAIHA,Quầy thuốc Hải Hà,"Khu phố 6 TT Cổ Phúc, huyện Trấn Yên, tỉnh Yên Bái","Phúc, huyện Trấn Yên",,04KVYENBAI,Nguyễn Thị Hải Hà,0975212122
VCQTTDTHU,Quầy thuốc Tân dược - Phạm Thị Thu,"Thôn Thanh Tú, xã Đại Lịch, huyện Văn Chấn,tỉnh Yên Bái","Lịch, huyện Văn Chấn",,04KVYENBAI,Phạm Thị Thu,0812992669
YBBINHDINH,Nhà thuốc Bình Định,"1125 đường Yên Ninh, p Đồng Tâm, tp Yên Bái, tỉnh Yên Bái","Tâm, tp Yên Bái",,04KVYENBAI,Nguyễn Thị Bình Định,0965498587
YBTHUYLAN,Nhà thuốc Thủy Lan,"SN 724 đường Yên Ninh, tổ 3 phường Minh Tân, tp Yên Bái, tỉnh Yên Bái","Tân, tp Yên Bái",,04KVYENBAI,Doãn Thị Ngọc Lan,0975423002
VYMANHUYEN,Quầy thuốc Mạnh Uyên,"Thôn Tam Quan, xã Đông An, huyện Văn Yên, tỉnh Yên Bái","An, huyện Văn Yên",,04KVYENBAI,Cao Tố Uyên,0969185451
TYCHILIEN,Quầy thuốc tân dược C Liên,"xã Phúc Lộc, huyện Trấn Yên, tỉnh Yên Bái","Lộc, huyện Trấn Yên",,04KVYENBAI,DS Liên,0977714726
VCHACUONG,Quầy thuốc Hà Cường,"Thôn 4 xã Đại Lịch, huyện Văn Chấn, tỉnh Yên Bái","Lịch, huyện Văn Chấn",0838622682,04KVYENBAI,Trịnh Cao Cường,0972222682
VCTRUONGTRANG,Quầy thuốc Tân Trường Trang,"Đối diện UBND xã Đông Khê, huyện Văn Chấn, tỉnh Yên Bái","Khê, huyện Văn Chấn",,04KVYENBAI,Nguyễn Thị Huyền Trang,0386302995
VYNGUYENMAI,Phòng khám nội tổng hợp - Nguyễn Thị Mai,"Xã Đông Cuông, huyện Văn Yên, tỉnh Yên Bái","Cuông, huyện Văn Yên",,04KVYENBAI,Nguyễn Thị Mai,0347192507
YBNTVIETBAO,Nhà thuốc Việt Bảo,"233 Đinh Tiên Hoàng, p.Yên Thịnh, tp Yên Bái, tỉnh Yên Bái","Thịnh, tp Yên Bái",,04KVYENBAI,Tăng Thị Bích Hạnh,0366 504 792
YBHUYENSON,Nhà thuốc Huyền Sơn,"SN 649 đường Yên Ninh, p Yên Ninh, tp Yên Bái, tỉnh Yên Bái","Ninh, tp Yên Bái",,04KVYENBAI,Nguyễn Thị Sang,0334578566
TYTOANHONG,Quầy Toản Hồng,"Chợ Quy Mông, xã Quy Mông, huyện Trấn Yên, tỉnh Yên Bái","Mông, huyện Trấn Yên",,04KVYENBAI,,0988667546
YBANHDUC,Nhà thuốc Anh Đức,"Thôn Thanh Hùng, xã Tân Thịnh, TP. Yên Bái, Tỉnh Yên Bái",Yên Bái,,04KVYENBAI,Trần Thị Hiền,0363160190
YBHAIVAN,Nhà thuốc Hải Vân,"161B Điện Biên tổ 12, phường Yên Ninh, thành phố Yên Bái, tỉnh Yên Bái","Ninh, thành phố Yên Bái",,04KVYENBAI,Nguyễn Hải Vân,0975 535 261
YBQTSO2,Nhà thuốc 322,"322 Đinh Tiên Hoàng, TP Yên Bái, tỉnh Yên Bái",TP Yên Bái,,04KVYENBAI,Trần Thị Hồng Nhung,0982 607 599
YBIGIAHUNG,Quầy thuốc Gia Hưng,"Ngã 3 km 10, huyện Yên Bình, tỉnh Yên Bái","Ngã 3 km 10, huyện Yên Bình",,04KVYENBAI,Nguyễn Thị Tố Như,0332 397 026
YBLANHUONG,Quầy thuốc Nguyễn Thị Lan Hương,"Thôn Đằng Con, xã Âu Lâu, tp Yên Bái, tỉnh Yên Bái","Lâu, tp Yên Bái",,04KVYENBAI,Nguyễn Thị Lan Hương,0339 708 369
YBQUYNHKHOA,Quầy thuốc Quỳnh Khoa,"169 Thành Công, phường Nguyễn Thái Học, TP Yên Bái, tỉnh Yên Bái",TP Yên Bái,,04KVYENBAI,Phạm Thị Quỳnh,0914 954 222
YBTHUYNGA,Quầy thuốc Lê Thúy Nga,"Thôn Bình Lục, xã Văn Tiến, tp Yên Bái, tỉnh Yên Bái","Tiến, tp Yên Bái",,04KVYENBAI,Lê Thúy Nga,0911 818 119
YBHONGNHUNG,Quầy thuốc Hồng Nhung,"297 đường Hòa Bình, phường Nguyễn Thái Học, TP Yên Bái, tỉnh Yn Bái",TP Yên Bái,,04KVYENBAI,Đặng Thị Hồng Nhung,0916 496 491
TYTHUTHUY,Quầy thuốc Bùi Thu Thủy,"Thôn Phố Hóp, xã Báo Đáp, huyện Trấn Yên, tỉnh Yên Bái","Đáp, huyện Trấn Yên",,04KVYENBAI,Bùi Thu Thủy,0369 121 432
VYQTSO1,Quầy thuốc số 1,"Chợ Mậu A, TT Mậu A, huyện Văn Yên, tỉnh Yên Bái","A, huyện Văn Yên",,04KVYENBAI,Nguyễn Thị Phương Thùy,0902 222 203
VYTHU,Quầy thuốc tân dược Bùi Thị Thu,"Thôn Trung Tâm, xã An Thịnh, huyện Văn Yên, tỉnh Yên Bái","Thịnh, huyện Văn Yên",,04KVYENBAI,Bùi Thị Thu,0326 668 998
NLTANDUOC,Quầy thuốc tân dược,"262 phường Trung Tâm, TX Nghĩa Lộ, tỉnh Yên Bái",TX Nghĩa Lộ,,04KVYENBAI,Nguyễn Quốc Khánh,0977 958 190
YBTRANTHOA,Quầy thuốc Trần Thị Kim Thoa,"Thôn 2 xã Văn Phú, TP Yên Bái, tỉnh Yên Bái",TP Yên Bái,,04KVYENBAI,Trần Thị Kim Thoa,0349 757 001
MCCNGUYENHAI,Quầy thuốc Nguyễn Thị Hải,"xã Khao Mang, huyện Mù cang Chải, tỉnh Yên Bái","Mang, huyện Mù cang Chải",5200548184,04KVYENBAI,Nguyễn Thị Hải,0888 560 386
YBQUOCHIEU,Nhà thuốc Cúc Hiếu(Nt Thu Cúc),"1095 đường Yên Ninh, phường Đồng Tâm, tp Yên Bái, tỉnh Yên Bái","Tâm, tp Yên Bái",,04KVYENBAI,Hà Kim Cúc,0974 750 363
LYQT06,Nhà thuốc Thế Nghĩa,"Thôn Trung Tâm, xã Tân Lĩnh, huyện Lục Yên, tỉnh Yên Bái","Lĩnh, huyện Lục Yên",,04KVYENBAI,Triệu Hoài Thanh,0972105927
VY1THUHA,Quầy thuốc Nguyễn Thị Thu Hà,"Thôn Yên Dũng 1, xã Yên Hợp, huyện Văn Yên, tỉnh Yên Bái","Hợp, huyện Văn Yên",,04KVYENBAI,Nguyễn Thị Thu Hà,0973 522 253
VYVANBINH,Quầy thuốc Trần Thị Hậu,"Thôn Chè Vè, xã An Thịnh, huyện Văn Yên, tỉnh Yên Bái","Thịnh, huyện Văn Yên",,04KVYENBAI,Trần Thị Hậu,0963 373 305
YBCOTHOM,Quầy thuốc Cồ Thị Thơm,"Thôn Bình Sơn, xã văn Phú, tp Yên Bái, tỉnh Yên Bái","Phú, tp Yên Bái",,04KVYENBAI,Cồ Thị Thơm,0382467531
YBDOLE,Quầy thuốc Đỗ Thị Cẩm Lệ,"xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái","Tiến, thành phố Yên Bái",,04KVYENBAI,Đỗ Thị Cẩm Lệ,0355 555 184
YBTUNGHANG,Nhà thuốc Hoàng Bách,"Số 1 đường Thành Công, tp Yên Bái, tỉnh Yên Bái","Công, tp Yên Bái",0914764719,04KVYENBAI,Hà Thị Thu Hằng,0946218118
YBTRUNGVAN,Nhà thuốc Trung Vân,"276 đường Thành Công, p Nguyễn Thái Học, tp Yên Bái, tỉnh Yên Bái","Học, tp Yên Bái",,04KVYENBAI,Phùng Thanh Trung,0334183888
LYNGYENPHU,CTD Yên Bái - Quầy thuốc Nguyễn Thị Phú,"Tổ 10 TT Yên Thế, huyện Lục Yên, tỉnh Yên Bái","Thế, huyện Lục Yên",,04KVYENBAI,Nguyễn Thị Phú,0974039686
YBTHUHUONG,Nhà thuốc Thu Hương,"220 Lý Thường Kiệt, tổ 16A phường Nguyễn Thái Học, tp Yên Bái, tỉnh Yên Bái","Học, tp Yên Bái",,04KVYENBAI,Hứa Thị Thu Hương,0889078696
YBPHUHUONG,Nhà thuốc Phú Hường,"Số 397 đường Kim Đồng, tổ 7 phường Minh Tân, tp Yên Bái, tỉnh Yên Bái","Tân, tp Yên Bái",,04KVYENBAI,Đỗ Thị Thu Hường,0942047065
YBMINHTHU,CTD Thanh Phương - Quầy thuốc Hà Thị Minh Thu,"Số 24B Phạm Khắc Vinh, phố Đồng Tiến, p Nam Cường, tp Yên Bái, t Yên Bái","Cường, tp Yên Bái",,04KVYENBAI,Hà Thị Minh Thu,0919520333
YBKIMVAN,Quầy thuốc 11 - Nguyễn Thị Kim Vân,"Chợ Yên Thế, Tt Yên Thế, huyện Lục Yên, tỉnh Yên Bái","Thế, huyện Lục Yên",,04KVYENBAI,Nguyễn Thị Kim Vân,0838688756
YBTRINHNGAN,Quầy thuốc Trịnh Thị Ngàn,"Thôn Pha 1, xã Cảm Nhân, huyện Yên Bình, tỉnh Yên Bái","Nhân, huyện Yên Bình",,04KVYENBAI,Trịnh Thị Ngàn,0974098253
LYTHOMAN,Nhà thuốc Thơm An,"Tổ 9, TT Yên Thế, huyện Lục Yên, tỉnh Yên Bái","Thế, huyện Lục Yên",,04KVYENBAI,Hoàng Thị Thơm,0398828027
YB.HOANGHA,NT Pk Tai mũi họng,"813 đường Yên Ninh, phường Yên Ninh, tp Yên Bái, tỉnh Yên Bái","Ninh, tp Yên Bái",,04KVYENBAI,Hoàng Thị Thương Hà,0989897203
VCPHUONGLINH,Quầy thuốc tân dược Kiều Phương Linh,"Thôn trung tâm, xã Thượng Bằng La, huyện Văn Chấn, tỉnh Yên Bái","La, huyện Văn Chấn",,04KVYENBAI,Kiều Phương Linh,0335733004
NLTHANHHUYEN,Nhà thuốc Thanh Huyền,"Số 202 đường Điện Biên tổ 8  phường Trung Tâm, TX Nghĩa Lộ, tỉnh Yên Bái",TX Nghĩa Lộ,,04KVYENBAI,Nguyễn Thị Thanh Huyền,0979955581
TYLETHANH,Quầy thuốc số 23,"Tổ 5 TT Cổ Phúc, huyện Trấn Yên, tỉnh Yên Bái","Phúc, huyện Trấn Yên",,04KVYENBAI,Lê Thị Hải Thanh,0915415322
YBCHIYEN,Quầy thuốc Chị Yến,"SN 86A đường Thành Trung, tp Yên Bái, tỉnh Yên Bái","Trung, tp Yên Bái",,04KVYENBAI,DS Yến,0337273910
LYNONGTIEN,CTD Cường Mùi - Quầy thuốc Nông Văn Tiến,"Thôn Ngòi Kèn, xã Liễu Đô, huyện Lục Yên, tỉnh Yên Bái","Đô, huyện Lục Yên",,04KVYENBAI,Nông Văn Tiến,0363103813
TYQT21,CTD Yên Bái - Quầy thuốc số 21,"Khu phố 9, TT Cổ Phúc, huyện Trấn Yên, tỉnh Yên Bái","Phúc, huyện Trấn Yên",,04KVYENBAI,Bùi Thị Hương,0393849279
YBNGUYENHONG,Nhà thuốc Vi Hồng,"355 Ngô Minh loan,phường Hợp Minh, tp Yên Bái, tỉnh Yên Bái","Minh, tp Yên Bái",,04KVYENBAI,Nguyễn Thị Vân Hồng,0943741098
VCLUUHONG,Quầy thuốc Lưu Thị Hồng,"TDP Hồng Sơn, xã Sơn Thịnh, huyện Văn Chấn, tỉnh Yên Bái","Thịnh, huyện Văn Chấn",,04KVYENBAI,Lưu Thị Hồng,0914481656
YBHACUONG,Quầy thuốc Hà Cường,"Tổ 4 TT Yên Bình, huyện Yên Bình, tỉnh Yên Bái","Bình, huyện Yên Bình",,04KVYENBAI,Nguyễn Thị Hà,0982695179
YBBAOYEN,Nhà thuốc Bảo Yến,"303 Hoàng Hoa Thám, phường Nguyễn Thái Học, tp Yên Bái, tỉnh Yên Bái","Học, tp Yên Bái",,04KVYENBAI,Nguyễn Thị Yến,0365411327
YBPKHOHONG,Phòng khám chuyên khoa mắt Hồ Doãn Hồng,"25 đường Quang Trung, phường Đồng Tâm, tp Yên Bái, tỉnh Yên Bái","Tâm, tp Yên Bái",,04KVYENBAI,Hồ Doãn Hồng,0936030880
YBTRANANH,Nhà thuốc Trần Anh,"73 đường Yên Ninh, Phường Yên Ninh, tp Yên Bái, tỉnh Yên Bái","Ninh, tp Yên Bái",,04KVYENBAI,Phạm Thị Hồng,0979798143
VCQTSPP,Quầy thuốc GPP,"Thôn Hồng Sơn, xã Sơn Thịnh, huyện Văn Chấn, tỉnh Yên Bái","Thịnh, huyện Văn Chấn",,04KVYENBAI,Hoàng Thị Hương Giang,0964909271
TYQT22,Quầy thuốc số 22,"Thôn Yên Thịnh, xã Kiên Thành, huyện Trấn Yên, tỉnh Yên Bái","Thành, huyện Trấn Yên",,04KVYENBAI,Nguyễn Thị Mai Tâm,0987586379
NLNGHIALUNG,Nhà thuốc Trọng Nghĩa (Nghĩa Lừng),"Số nhà 565 tổ 1, phường Pú Trạng, TX Nghĩa Lộ, tỉnh Yên Bái",TX Nghĩa Lộ,,04KVYENBAI,Trần Thị Lừng,0385 180 876
VCDAOHA,Quầy thuốc tân dược,"Tổ 7 TT Nông Trường, xã Nghĩa Lộ, huyện Văn Chấn, tỉnh Yên Bái","Lộ, huyện Văn Chấn",,04KVYENBAI,Đào Thị Thanh Hà,0946217012
YBIMINHNGUYET,Quầy thuốc Minh Nguyệt (QT 05),"Thôn 5 xã Thịnh Hưng, huyện Yên Bình, tỉnh Yên Bái","Hưng, huyện Yên Bình",,04KVYENBAI,Trần Thị Minh Nguyệt,0986 251 021
YBTRUONGDIU,Quầy thuốc Trường Dịu,"km 32 Tân Nguyên, huyện Yên Bình, tỉnh Yên Bái","Nguyên, huyện Yên Bình",,04KVYENBAI,Vi Thị Dịu,0988 969 032
LYQTD14,Quầy thuốc D14,"Thôn 16, xã Động Quan, huyện Lục Yên, tỉnh Yên Bái","Quan, huyện Lục Yên",,04KVYENBAI,Nguyễn Thị Hồng Nhung,0965 125 184
YBPHAMPHUONG,Nhà thuốc Bích Phượng,"SN 312, Tổ 22, phường Hồng Hà, tp Yên Bái, tỉnh Yên Bái","Hà, tp Yên Bái",,04KVYENBAI,Phạm Bích Phượng,0977 550 226
YBDTBUT,Quầy thuốc Đinh Thị Bút,"Tổ 78, Phường Nguyễn Thái Học, TP Yên Bái, Tỉnh yên Bái",TP Yên Bái,,04KVYENBAI,DSTH Đinh Thị Bút,0393979386
YBDUONG,Nhà thuốc Dương Kiên,"Thôn Nước Mát, Xã Âu Lâu, TP Yên Bái, Tỉnh Yên Bái",Yên Bái,0865025193 (Hòa),04KVYENBAI,Đoàn Thị Dương,0985409975
VYTRANQUANG,Quầy thuốc tân dược Trần  Văn Quang,"thôn Khe Cỏ, xã An Thịnh, huyện Văn Yên, tỉnh Yên Bái","Thịnh, huyện Văn Yên",,04KVYENBAI,Trần  Văn Điệp,0985487472
VYNGUYENHUU,Nhà thuốc phòng khám siêu âm 4D,"Ngõ 180 đường Tuệ Tĩnh, TT Mậu A, huyện Văn Yên, tỉnh Yên Bái","A, huyện Văn Yên",,04KVYENBAI,Nguyễn Thị Hữu,0983 731 162
YBHIENDUC,Quầy thuốc Hiền Đức,"TDP 3, TT Thác Bà, huyện Yên Bình, tỉnh Yên Bái","Bà, huyện Yên Bình",,04KVYENBAI,Đặng Thị Liên,0974126096
YBMAICHANH,Quầy thuốc Mai Hồng Chanh,"Tân Minh, Mông Sơn, Yên Bình, Yên Bái","Sơn, Yên Bình",,04KVYENBAI,Mai Hồng Chanh,0983457088
YBHOANGBAY,Quầy thuốc Hoàng Thị Bẩy,"Thôn Phúc Hòa, xã Hán Đá, huyện Yên Bình, tỉnh Yên Bái","Đá, huyện Yên Bình",,04KVYENBAI,Hoàng Thị Bẩy,0982891824
YBHONGHA,Nhà thuốc Hồng Hà,"50 Lê Hồng Phong, phường Nguyễn Thái Học, tp Yên Bái, tỉnh Yên Bái","Học, tp Yên Bái",,04KVYENBAI,Vũ Thị Hồng Hà,0389436281
TYLOAN,Quầy thuốc Thanh Loan,"khu 3, Thị Trấn Cổ Phúc, Huyện Trấn Yên, Tỉnh Yên Bái",Trấn Yên,,04KVYENBAI,Bùi Thị Loan,01697186639
YBTHANHNGA,Nhà thuốc Hoa Nga,"Số 19 Tổ 9 Phường Hợp Minh, TP Yên Bái, Tỉnh Yên Bái",Yên Bái,,04KVYENBAI,Lê Thị Thanh Nga,0968748266
VCHOALINH,Quầy thuốc Linh Hoa,"Bản Cại, xã Hạnh Sơn, huyện Văn Chấn, tỉnh Yên Bái","Sơn, huyện Văn Chấn",,04KVYENBAI,Hoàng Thị Hoa,0971 327 588
NLTHANHHAI,Quầy thuốc Nguyễn Thanh Hải,"SN 161 tổ 8 phường Trung Tâm, TX Nghĩa Lộ, tỉnh Yên Bái",TX Nghĩa Lộ,,04KVYENBAI,Nguyễn Thanh Hải,0974 913 928
YBNGUYENNGA,Quầy thuốc Nguyễn Thị Nga,"Tổ 9 TT Yên Bình, huyện Yên Bình, tỉnh Yên Bái","Bình, huyện Yên Bình",,04KVYENBAI,Nguyễn Thị Nga,0394 390 883
VCTRANANH,Quầy thuốc Trần Thị Anh (Qt Kim Anh),"thôn Trung Tâm, xã Thượng Bằng La, huyện Văn Chấn, tỉnh Yên Bái","La, huyện Văn Chấn",,04KVYENBAI,Trần Thị Anh,083 665 8889
VCTRINHHUYEN,Quầy thuốc Trịnh Thu Huyền,"Xã Cát Thịnh, huyện Văn Chấn, tỉnh Yên Bái","Thịnh, huyện Văn Chấn",,04KVYENBAI,Trịnh Thu Huyền,036 917 4589
TYVUHUONG,Quầy thuốc Vũ Thị Hương,"Thôn Đồng Hào, xã Lương Thịnh, huyện Trấn yên, tỉnh Yên Bái","Lương Thịnh, huyện Trấn yên",,04KVYENBAI,Vũ Thị Hương,0973 133 593
SLCTVHONG,Đỗ Thị Hồng,"KDC Cường Bắc, phường Nam Cường, tỉnh Yên Bái","Bắc, phường Nam Cường",0974 263 296,04KVYENBAI,,089 874 4264
MCCOHOA,CTD Yên Bái - Quầy thuốc Nguyễn Thị Hoa,"Tổ 3, TT Mù Cang Chải, huyện Mù Cang Chải, Tỉnh Yên Bái",Cang Chải,,04KVYENBAI,Nguyễn Thị Hoa,0346 756 868
VCNGOCHANG,Nhà thuốc Ngọc Hằng,"thôn 14 xã Tân Thịnh, huyện Văn Chấn, tỉnh Yên Bái","Thịnh, huyện Văn Chấn",,04KVYENBAI,Đinh Ngọc Viễn Hằng,0975 406 668
VYHIEUNGOAN,Quầy thuốc Hiếu Ngoan,"Thôn Cây Đa, xã An Thịnh, huyện Văn Yên, tỉnh Yên Bái","Thịnh, huyện Văn Yên",0974 638 602,04KVYENBAI,Nguyễn Thị Ngoan,0973 485 583
TYYENTHANH,Quầy thuốc Yến Thanh,"Thôn trung tâm, xã Trúc Lâu, huyện Lục Yên, tỉnh Yên Bái","Lâu, huyện Lục Yên",,04KVYENBAI,Mai Yến Thanh,0964263919
LYCUONGDUYEN,Quầy thuốc Cường Duyên,"Tổ 1 TT Yên Thế, huyện Lục Yên, tỉnh Yên Bái","Thế, huyện Lục Yên",,04KVYENBAI,Nguyễn Hương Duyên,0868168189
YBNT24H,Nhà thuốc 24H,"Số 468 đường Đinh Tiên Hoàng, phường Yên Thịnh, tp Yên Bái, tỉnh Yên Bái","Thịnh, tp Yên Bái",,04KVYENBAI,Vương Thu Trang,0365570997
YBHAANH,Nhà thuốc Hà Anh,"168 Hoàng Hoa Thám, phường Nguyễn Thái Học, tp Yên Bái, tỉnh Yên Bái","Học, tp Yên Bái",,04KVYENBAI,Trần Thị Thanh Anh,0979017836
VYDONHAI,Quầy thuốc tân dược Đỗ Thị Nhài,"Thôn Gốc Gạo, xã Tân Hợp, huyện Văn Yên, tỉnh Yên Bái","Hợp, huyện Văn Yên",,04KVYENBAI,Đỗ Thị Nhài,0982410600
YBTHUYDUONG,Quầy thuốc Thúy Dương,"Thôn Kè, xã Đại Lich, huyện Văn Chấn, tỉnh Yên Bái","Lich, huyện Văn Chấn",,04KVYENBAI,Nguyễn Thị Thúy Dương,0976822623
YBPKVIETNHAT,Phòng khám đa khoa Việt Nhật,"Tổ 6 TT Mậu A, huyện Văn Yên, tỉnh Yên Bái","A, huyện Văn Yên",,04KVYENBAI,Ds Vân Anh,0822943688
YBPKDKYENBINH,Nt Pk đa khoa Yên Bình,"SN 645 đường Đại Đồng, TT Yên Bình, huyện Yên Bình, tỉnh Yên Bái","Bình, huyện Yên Bình",,04KVYENBAI,,0338817696
YBBAOVIET,Nhà thuốc Bảo Nhân,"401 đường Kim Đồng, phường Minh Tân, tp Yên Bái, tỉnh Yên Bái","Tân, tp Yên Bái",,04KVYENBAI,Nguyễn Thu Cúc,0963178451
VCDOQUYNH,Quầy thuốc Đỗ Mạnh Quỳnh,"Thôn Minh Đồng, xã Đồng Khê, huyện Văn Chấn, tỉnh Yên Bái","Khê, huyện Văn Chấn",,04KVYENBAI,Đỗ Mạnh Quỳnh,0989134015
YBTUOANH,Quầy thuốc Nguyễn Thị Tú Oanh,"Minh Long, Tuy Lộc, tp Yên Bái, tỉnh Yên Bái","Lộc, tp Yên Bái",,04KVYENBAI,Nguyễn Thị Tú Oanh,0977527306
YBHANHI,Nhà thuốc Hà Nhi,"Số 10 dường Lý Thường Kiệt, tổ 3, phường Nguyễn Thái Học, tp Yên Bái, tỉnh Yên Bái","Học, tp Yên Bái",,04KVYENBAI,Trần Thị Tố Uyên,0976690567
YBNGUYENOANH,CTD YB - Quầy thuốc Nguyễn Thị Tú Oanh,"Thôn Minh Long, xã Tuy Lộc, tp Yên Bái, tỉnh Yên Bái","Lộc, tp Yên Bái",,04KVYENBAI,Nguyễn Thị Tú Oanh,0977 527 306
TYPARIS,Nt pk nha khoa Paris,"Tổ 2 ngã tư Long Vân, TT Cổ Phúc, huyện Trấn Yên, tỉnh Yên Bái","Phúc, huyện Trấn Yên",,04KVYENBAI,Nguyễn Duy Phong,0988894523
VYTHANHVU,Quầy thuốc Thành Vũ,"Xã Đại Phác, huyện Văn Yên, tỉnh Yên Bái","Phác, huyện Văn Yên",,04KVYENBAI,,0368470345
VYDANGTEN,Quầy thuốc tân dược,"xã Đại Sơn, huyện Văn Yên, tỉnh Yên Bái","Sơn, huyện Văn Yên",,04KVYENBAI,Đặng thị Tén,034 485 6628
VYPHAMMINH,Quầy thuốc Liêm Minh,"Khu Phố Trái Hút, xã An Bình, huyện Văn Yên, tỉnh Yên Bái","Bình, huyện Văn Yên",,04KVYENBAI,Phạm Hồng Minh,0978 715 238
TYNGUYENQUYNH,CTD Thanh Phương - Quầy thuốc Nguyễn Như Quỳnh,"Thôn Đồng Gianh, xã Báo Đáp, huyện Trấn Yên, tỉnh Yên Bái","Đáp, huyện Trấn Yên",,04KVYENBAI,Nguyễn Như Quỳnh,0982710668
TYDAIDUONG,Quầy thuốc Đại Dương,"Thôn 3 xã Tân Đồng, huyện Trấn Yên, tỉnh Yên Bái","Đồng, huyện Trấn Yên",,04KVYENBAI,Đoàn Thị Thùy Dương,0977865542
VYVYHUYEN,CTD Cường Mùi - Quầy thuốc Vỹ Huyền,"Thôn Gốc Đa, xã Đông An, huyện Văn Yên, tỉnh Yên Bái","An, huyện Văn Yên",,04KVYENBAI,Bùi Thị Thu Huyền,0963118733
VYPHUCAN,CTD Cường Mùi - Quầy thuốc Phúc An,"Tổ 2 thôn Hồng Phong (218 Tuệ Tĩnh), TT Mậu A, huyện Văn Yên, tỉnh Yên Bái","A, huyện Văn Yên",,04KVYENBAI,Vũ Thị Vân,0965229906
YBTHANHPHUONG,Quầy thuốc Thành Phương(QT 18),"km23 thôn Ngòi Khang, xã Bảo ái, huyện Yên Bình, tỉnh Yên Bái","Bảo ái, huyện Yên Bình",,04KVYENBAI,Nông Diệu Phương,0947116391
NLNGUYENYEN,CTDYB - Quầy thuốc Nguyễn Thị Yến,"SN 260 đường Nguyễn Quang Bích, Phường Pú Trạng, TX Nghĩa Lộ, Tỉnh Yên Bái",Nghĩa Lộ,0814958698,04KVYENBAI,Nguyễn Thị Yến,0963729961
NLTHUYLINH,CTD Thanh Phương - Quầy thuốc Nguyễn Thùy Linh,"Số 490 tổ 4 phường Trung Tâm. TX Nghĩa Lộ, tỉnh Yên Bái",TX Nghĩa Lộ,,04KVYENBAI,Nguyễn Thùy Linh,0985047886
TYNT68,Nhà thuốc 68,"Kios13 Chợ Quy Mông, xã Quy Mông, huyện Trấn Yên, tỉnh Yên Bái","Mông, huyện Trấn Yên",,04KVYENBAI,Nguyễn Thị Hồng,0389798133
YBPHONGPHU,Nhà thuốc Phong Phú,"118 đường Lê Lợi, tổ 13 Phường Yên Ninh, tp Yên Bái, tỉnh Yên Bái","Ninh, tp Yên Bái",,04KVYENBAI,Phạm Khánh Toàn,0964616345
VCHAVUNG,Quầy thuốc Hà Thị Vững,"Khu 9 TT Nông Trường Trần Phú, huyện Văn Chấn, Tỉnh Yên Bái",Văn Chấn,,04KVYENBAI,Hà Thị Vững,0975241061
VCCUONGLAM,CTD Cường Mùi - Quầy thuốc Cường Lâm,"Thôn Nước Nóng, xã Tú Lệ, huyện Văn Chấn, tỉnh Yên Bái","Lệ, huyện Văn Chấn",,04KVYENBAI,Hoàng Thị Lâm,0332496060
